Changed 1
77.948718 4.871795 14.615385
75.897436 4.743590 14.230769
73.846154 4.615385 13.846154
71.794872 4.487179 13.461538
69.743590 4.358974 13.076923
67.692308 4.230769 12.692308
65.641026 4.102564 12.307692
63.589744 3.974359 11.923077
61.538462 3.846154 11.538462
59.487179 3.717949 11.153846
57.435897 3.589744 10.769231
55.384615 3.461538 10.384615
53.333333 3.333333 10.000000
51.282051 3.205128 9.615385
49.230769 3.076923 9.230769
47.179487 2.948718 8.846154
45.128205 2.820513 8.461538
43.076923 2.692308 8.076923
41.025641 2.564103 7.692308
38.974359 2.435897 7.307692
36.923077 2.307692 6.923077
34.871795 2.179487 6.538462
32.820513 2.051282 6.153846
30.769231 1.923077 5.769231
28.717949 1.794872 5.384615
26.666667 1.666667 5.000000
24.615385 1.538462 4.615385
22.564103 1.410256 4.230769
20.512821 1.282051 3.846154
18.461538 1.153846 3.461538
16.410256 1.025641 3.076923
14.358974 0.897436 2.692308
12.307692 0.769231 2.307692
10.256410 0.641026 1.923077
8.205128 0.512821 1.538462
6.153846 0.384615 1.153846
4.102564 0.256410 0.769231
2.051282 0.128205 0.384615
0.000000 0.000000 -0.000000
