Changed 1
0.256410 2.564103 0.512821
0.512821 5.128205 1.025641
0.769231 7.692308 1.538462
1.025641 10.256410 2.051282
1.282051 12.820513 2.564103
1.538462 15.384615 3.076923
1.794872 17.948718 3.589744
2.051282 20.512821 4.102564
2.307692 23.076923 4.615385
2.564103 25.641026 5.128205
2.820513 28.205128 5.641026
3.076923 30.769231 6.153846
3.333333 33.333333 6.666667
3.589744 35.897436 7.179487
3.846154 38.461538 7.692308
4.102564 41.025641 8.205128
4.358974 43.589744 8.717949
4.615385 46.153846 9.230769
4.871795 48.717949 9.743590
5.128205 51.282051 10.256410
5.384615 53.846154 10.769231
5.641026 56.410256 11.282051
5.897436 58.974359 11.794872
6.153846 61.538462 12.307692
6.410256 64.102564 12.820513
6.666667 66.666667 13.333333
6.923077 69.230769 13.846154
7.179487 71.794872 14.358974
7.435897 74.358974 14.871795
7.692308 76.923077 15.384615
7.948718 79.487179 15.897436
8.205128 82.051282 16.410256
8.461538 84.615385 16.923077
8.717949 87.179487 17.435897
8.974359 89.743590 17.948718
9.230769 92.307692 18.461538
9.487179 94.871795 18.974359
9.743590 97.435897 19.487179
10.000000 100.000000 20.000000
